id,description,severity
458730,gcc warning: jarver.c:: warning: the address of ‘x_name’ will always evaluate as ‘true’,normal
486036,"[patch] make install fails for darwin/x, but it should only die for osx/cocoa",normal
242283,installer does not close mozilla gracefully; talkback pops up,minor
97960,"first time, the netscape feedback app started - subsequently, the entire mozilla application closes without warning (does not crash, just terminates).",normal
300321,[bfcache] links stay highlighted,major
730407,"omtc: basiclayers draws into a target, it should only validate the layers for forwarding",normal
197144,capital characters with special extras (word?) doesn't fit into one line forms ,normal
542871,junk-button does not move an e-mail to the junk folder if the junk filter is deactivated,normal
670572,"signed add-on can't always link to its resources via chrome url, causes a security error instead",normal
416887,session no longer gets restored,critical
557162,"clicking on thunderbird when ""processing"" locks it up",normal
510207,tracemonkey: testbug runs out of memory on arm.,normal
465268,tm: inline int to id fast path into the builtins,normal
27739,assertions at random times during debugging.,normal
641664,html required error message does not zoom,normal
218058,testing..ignore it,normal
689189,installed firefox  recently. site hangs and is slow.  cannot uninstall to reinstall another version. help!,normal
780705,jstests: make warning clearer if -g and --jitflags are set at the same time,normal
165138,crash when clic on reload several times with shift key pressed,normal
492061,bookmark folders randomly rename themselves,normal
539547,"anchor links should scroll, not jump",normal
9680,sched: toolbox d&d: save expand/collapse state on toolboxes,normal
657000,don't fire events for synchronous xhr,normal
503356,old page remains until slow loading new page is complete,normal
426168,composer window without border / background,normal
598281,ultra bold fonts being selected,normal
661623,two kinds of missing msaa focus events in iframe,normal
52055,left arrow key in any tree with one selected item unselects the item,minor
647724,firefox  error,normal
535016,need analysis to ensure that actors are retained before being used as arguments,normal
382019,uri escaping for web-based protocol handlers does not match spec,normal
378339,nsframeiterator doesn't initialize moffedge,normal
44155,proxy authentication never prompts for password,normal
44198,mousewheel scrolling crashes browser,major
402708,configure should include list of options if --enable-application is not specified,normal
594950,search box hidden behind how-to video,normal
273449,"when dragging and dropping a dynamically created image (php script), filename is wrong.",normal
389242,kill old gfx and obslete code in nswindow,normal
770449,gap rendered above element when margin-bottom applied to parent of floated elements,normal
99958,"ftp://ftp.nai.com gives me ""can't open data connection""",major
625037,blank video player appears when firefox is minimized and maximized again,normal
630512,drag and drop creation of eml files doesn't work,normal
617525,event deliver semantics differ between in-process and out-of-process message manager (just for mozafterpaint?),normal
258835,location bar shows nothing in specific situation,normal
578753,x_/i universal build broken,normal
55845,wraps incorrectly around photos,normal
515799,reading freed memory in nsviewmanager::viewtowidget,normal
84427,browser doesn't search legacy paths for x plugins on unix,normal
163299,can't change cc accessible checkbox,blocker
347103,deleted bookmarks still have placeholders,minor
35351,macromedia shockwave plugin does not work for any sw content,major
370172,links on home page of online banking do not work,major
227617,after thunderbird stays open for a long while it stops checking for email,normal
348239,javascript doesn't work properly on bit compiled versions seamonkey/firefox,normal
68137,simple xul iframe example hangs mozilla on startup (complex site),normal
70293,garbage seen when deleting list items with del key,normal
248802,single pixel space intermittently appears between elements.,normal
145976,extra margin clamping thesold in some cases could be too small,normal
680728,not resillient to hangs,normal
292615,move rdf vocabulary from devmo to www.mozilla.org,normal
170182,audio/x-pn-realaudio-plugin  and windows media file no live-streams,normal
24952,long table rows (ie. height) don't cross page breaks,normal
273835,name=value pairs are submitted in wrong order when table containing form fields is dynamically rearranged,normal
1815,this page does not render correctly,minor
241473,gopher pages containing email addreses render badly,normal
432578,history expiration should remove orphaned bookmarks,normal
19378,up/down arrows don't scroll document if selection,normal
777154,./checksetup reports missing email::mime when in fact email::address is missing,normal
415700,"search engine aliases can ""take over"" the location bar",normal
592665,button disabled when reloading,normal
348732,getgrepathwithproperties() fails if temp path has spaces,normal
453287,printing to hp postscript produces gibberish,normal
418982,js_initfunctionandobjectclasses recursion causes assert and dies.,normal
81000,no gb item on charset menu,normal
563359,default search engines re-appear after upgrading firefox on ubuntu,minor
543204,iframe.find() focuses iframe in firefox .,major
555915,visibility issues when building xpcshell with readline support,normal
333086,strange handling of the mail default application,normal
770896,fresh installs of win release preview are missing key runtime files,normal
580317,qt desktop build  not compilable on non-egl environment,normal
455428,file:// urls on mac don't work half the time,normal
187268,"list markers is ,,... when overflow property of ol element is not ""visible""",normal
7556,[xul] <html:label> doesn't work with <html:textarea>,normal
778700,"""drag"" event not fired",normal
788026,flickering in ro.me demo rendering - black frames rendered / presented?,normal
66564,back doesn't work in frames after a while,normal
601966,firefox does not display when using remote desktop on windows server  r with terminal services,critical
27802,"using a complex proxy .pac file fails silently, no crash",normal
531544,"keyboard zoom keys inoperable for firefox, but work ok for ie, safari, and chrome.",normal
336773,ecma_/executioncontexts/..-.js result: failed type: browser,normal
80752,mac: cannot past data into any textfield ,major
78518,helpmenuoverlay.xul is not localized,normal
101993,selectedindex lost in select box when javascript adds option,normal
784259,nsdommutationobserver should inherit nswrappercache,normal
646404,entire browser hangs when using gmail,critical
431233,"log spam: ""header value = <foo>""",normal
145601,explication for icons doesn't display normally.,normal
800816,panels consumes/blocks mouse behaviour,normal
419036,simplify nscacheentryhashtable::visitentries and break 'friendship',normal
205635,setting start boundary point of range after end boundary point causes an error while it should collapse the range,normal
648506,js_decompilescript duplicates function declarations,normal
51383,mozilla crashes when it detects a doctype that it doesn't recognize,critical
489080,hyperlinks in email messages not launching browser,normal
379339,nsstringapi.h: stringbegins/endswith inconsistent with nsreadableutils.cpp,minor
258429,crash at startup on mips,critical
749822,ionmonkey: optimistic argc passed to uncompiled functions.,normal
356584,when folders are compacted unread and total message counters are set to ,normal
101538,horizontal lines in jpeg when scrolled,normal
321464,"when filtering sent messages, 'recipient' should be displayed, not 'sender' or 'subject or sender'",normal
468456,second scriptable <object/> of a document is not scriptable.,normal
45259,css-p element fails,major
493294,domino web access warning,normal
238728,return key at certificate viewer window stops all processing,normal
47266,after removing cache dir browser non-functional.,normal
51938,getting the frame for a window coordinate is inefficient,normal
71885,preference page to customize bug email,normal
390901,cjk - font-name is not recognised correctly in preferences.,normal
635490,text using hardware acceleration looks inferior and considerably different to acceleration being disabled and other browsers,major
2551,parsing list in table,normal
727729,firefox performance issues with many (nested) tables,normal
423643,reproducible crash in w/ firebug installed,critical
181781,"code  getcomputedstyle(myplot, '').getpropertyvalue(""top""); does not calculate right value for a relative positioned div-tag",normal
477788,can't arrange arrange in folder pane,normal
666604,allow untrusted events to trigger a link,normal
240100,"browser sometimes hangs on keyboard ""tab backwards"" command",normal
424487,the loading of other pages effects rendering of another page,normal
494106,fix ice in treehydra checks,normal
462910,c/c+ callers can't 'uneval',normal
416375,"after running ccleaner, a firefox/google search defaults to google france -- happens on  difference computers with  non-networked users.",normal
498540,audio and video tags do not fallback to fallback content when codec is not supported,major
791910,dying message managers don't get correctly unregistered,normal
136908,crl viewer-all columns show organization (o),normal
170950,ime should use os system color for selection instead of inverting,normal
72810,count() function is unable to handle certain path expressions,normal
292893,toolkit/themes/makefile.in uses qute for all-but-phoenix,normal
189623,chosing product on bugzilla query.cgi makes all components disappear,blocker
418069,js_/regress/regress-.js fail - browser - bad this,normal
176244,fix column resize and reorder issues when direction is rtl,normal
391979,"-moz-column-width in ""ch"" units triggers ""assertion: column-count and column-width can't both be auto""",normal
123151,headers / footers ,normal
302604,% cpu usage,minor
150552,border around rectangle drawn the wrong way,minor
485252,renderdocument background color filling need to be optimized.,normal
64833,tracking bug for some of the embedding bugs,normal
223352,spurious wakups on nsiothreadpool::midlethreadcv could hurt performance,minor
527075,"random failure: ""browser/fuel/test/browser_browser.js | there should be one browser window open - got , expected """,normal
786662,open containing folder in right click menu disabled after pause,normal
553832,lorentz branch: test_plugin_mouse_coords.html fails on mac.,normal
358968,"[cocoa] drag and drop of an image out of the browser onto desktop makes a ""picture clipping"" instead of saving the image",normal
378349,unread marked newsgroups don't have unread messages,major
117806,hover makes the page ugly,normal
361804,"""node was not found"" without .xhtml extension",major
394336,firefox crashes on any attempt to navigate away from this site,normal
237572,add negotiateauth to the default list of firefox extensions,normal
159444,veritcal scroll bars not displayed after image has been repostioned,normal
560712,nanojit: despecialize printing of immediates in debug output,normal
292514,print preview and firefox crashes each time.,normal
551439,autoconfig defaultpref doesn't work for homepage,normal
717915,implement a global developer toolbar,normal
629395,"unescaped interpolations in ""title"" calls in global/messages.html.tmpl",normal
160818,drag of selected text is too aggressive,normal
406349,xul label and description don't crop based on maxwidth,normal
548239,"""downloading message headers"" when opening a folder or trying to read a message.",major
269545,alt text not displayed when image is not displayed,normal
682604,smtp message drafts not deleted after send,normal
706078,no page's title is shown if menu bar is hidden,normal
478858,"ctrl+enter fails to add www. and .com in addresses with ""http-"" in the beggining of the name",normal
326569,while reading/sending mail occassional bur frequent crashes,major
566364,bookmarks search does not show the folder hierarchy tree so i don't know where it is!,normal
24290,slow rendering of deeply nested tables,normal
281660,.html icon file association not complete when making ff default browser,minor
736282,new tab screenshots show private information,normal
520768,sql error when trying to search,major
659646,"after initial proxy login, ff uses ie proxy address to access flash videos",normal
351670,"[os x] standard menuitem ""bring all to front"" missing in window menu",normal
349598,nsurlformatter unnecessarily dump()ing,normal
622929,firefox .b crashes on windows xp [@ sogoupy.ime@xe ] [@ sogoupy.ime@xde ],critical
825550,calling addstream on a peer connection object with a stream that already exists in localstreams - should fail gracefully and not throw ns_error_failure,normal
371625,alt tags not showing,major
224528,doesn't render the entire page. flash doesn't apperar at the right,normal
307546,application closes when switching tabs,critical
692031,domtemplate async loops do not drop the loop element,normal
299824,freeze on some functions (see details),critical
636728,brightcove videos hang/do not play.,major
443807,fire fox keeps crashing,normal
454473,bookmarks toolbar repopulates after restore from minimize (unnecessary tab bar stretch side effect),normal
629046,"firefox .b crash report [@ nstarray<tag_script_item, nstarraydefaultallocator>::clear() ]",critical
326616,"i get a ""print file not accepted (client-error-bad-request!)"" error when printing form firefox and only firefox.",major
328431,debug build breaking - unresolved symbol ns_debugbreak_p in xpcom/sample and xpcom/tools directory,major
355845,"marker-{start,mid,end} attributes not inherited",normal
23966,cannot visit new secure web sites.,normal
267891,mail account not showing in sent or any other folder except inbox,normal
56157,nd browse in composer window givse blank window,normal
261320,on startup live bookmarks steal focus,normal
230789,sidebar (bookmarks) disappears after doing print preview,normal
464933,"assertion failure: (uintn)(regs.sp - fp->slots) < script->nslots, at /js/src/jsinterp.cpp:",normal
816012,some javascript functions do not work properly on namespace-prefixed xhtml,normal
623778,no link source preview visible when in full screen mode,major
304698,"thunderbird has problems storing password with non standard chars (eg "",$,%,£)",major
795009,remote_profile_name should actually be chrome,normal
67591,menus w/o any submenuitems should be disabled,normal
368516,cannot load yahoo mail beta,major
94613,arabic text rendered incorrectly,normal
685925,cut and paste from github into scratchpad doesn't work right,normal
447661,"firefox is not loading all of the code for the site, so everything has reverted to a web . look",normal
142581,quotes and spaces in multipart/form-data attributes are not quoted,normal
524747,delete wrongly selects a folder instead of an email sometimes,minor
567320,webgl doesn't work using osmesa,major
43307,can't bring up table properties on linux,normal
356644,trojan,normal
263940,delete nonexistent cookie: prefs dialog ok button doesn't work,normal
812825,javascript unable to retrieve radio button value,normal
5055,"if text is selected, scrolling page doesn't stick",normal
364359,mathml <mtext> truncated,normal
1874,frames jump up and down during vertical resize,minor
268800,incomplete uninstall,normal
687862,text jumps up or down a pixel after scrolling,normal
299135,ftp often will not return the directory listing ... repeated attempts will eventually work,normal
319498,error trying to backup an elliptic curve crypto certificate,major
219839,xpinstall uninstall fails when package registry name contains multiple level of path,normal
761950,restraining add-on's behavior in private browsing mode,normal
275706,firefox does not identify itself correctly to ilisten voice rec application (firefox.app vs firefox-bin ?),normal
680927,startup crash in mozcomp.dll@xab,critical
246646,fails to load web embedded windows mediaplayer object,normal
547996,be able to tell when a click was generate by a tap on the screen,normal
55202,map they show is not one peice like it should be,normal
337044,[mlk] search engine manager leaks an observer when canceled,normal
413437,locking homepage buttons to disable them is broken (again),major
325556,update-packaging doesn't properly reference mar binary,normal
129788,"[xblfc] default font for <select> is serif, not sans-serif. (classic/wink)",normal
578172,receivemessage callback targets lack messagemanagers in non-fennec firefox,normal
226881,multi-selection form boxes autoscroll to the top,major
399983,"when quickly switching between portrait and landscape, the ""preparing..."" dialog gets stuck",normal
798856,search from the url bar (with keyword.url/keyword.enabled) fails on proxy,normal
202438,home page apparently cached separately from other pages,normal
657190,webgl/conformance/more/functions/texsubimagedhtml.html and teximagedhtml.html (at least) hit the network,normal
431868,firefox leaks when you enable/disable a plugin in the same session,normal
397593,bad fctl crc in apng files ignored,normal
457627,"date format on history organizer shows in us format, not in system",normal
631117,jsk demo no longer working,normal
614474, error test-unexpected-fail | /tests/dom/indexeddb/test/test_bfcache.html | test timed out.,normal
348523,tab focus crashes firefox,critical
429219,"ctrl+, ctrl+, etc, regression, after bug ",normal
636350,left/right touchpad scrolling or mouse wheel scrolling broken (over tab bar); echoes up/down scrolling now,normal
38616,can not move caret with arrow keys after switch bullets,normal
115397,foreground tab too hard to distinguish from background ones,normal
222193,"links with variables named similar to html entities translated into entities, causing link to be invalid when clicked",normal
786043,social api conformance testing,normal
306059,bookmarks context menu (right click) options inoperative,major
653250,cannot scroll (auto-page) on tumblr in last couple days,normal
515812,double hashing template,normal
56676,"memory leak via <input type=""file"">",major
4516,m release note tracking bug,normal
684660,extreme cpu use in cycle collector in large profile,normal
332807,document.open() in a xbl constructor,normal
343550,alt+arrow does not work when inline search button is hidden,normal
731406,contacts api: incremental search,normal
184256,canedit group_control_map entry does not prevent making attachments,major
285049,textbox and textarea ignore ctrl+letter and alt+letter key combinations,normal
226365,autocomplete doesn't disappear after .,normal
319163,vertical writing does not work in svg,normal
691344,stream->end is incorrect for streams of compressed data,normal
217730,no preferences in edit menu,normal
515313,nanojit: finish killing reservations,normal
622961,fix webgl getparam/getuniform test,normal
352360,negative zero decompiles as zero,normal
155086,error in nsapi plugin,normal
167472,os x; preferences won't hold,major
66113,end of scrollbar sometimes renders wrong,normal
809751,html table related elements of presentational table having global aria attributes must be accessible,normal
397924,bug  broke tab sidebar,normal
305824,remove the obscuring of the autoconfig file.,normal
720627,simply httpbasechannel::setuploadstream,normal
117835,overflow div property causes table mis-alignment,major
823916,[toolbox] don't use ordinal,normal
234435,crash on clicking link in popup window [@ presshell::diddoreflow],critical
284330,crash in  nsxuldocument::overlayforwardreference::merge [@defa],critical
46937,redraw view\[enlarge|reduce] text size menu,normal
675753,finish streamlining the search field,normal
299357,options dialog does not fade to different panels as shown on mozillazine.org,normal
333540,seamonkey trunk builds after / crashes when try to start mail&news,normal
397933,rewrite xpcom classes to inherit from gcobject,normal
359055,bookmark export fails when name is blank,normal
414438,this version has no window memory.  need to resize everything every time i start it up.,normal
334643,the (optional) utf- bom prevents html from being rendered,normal
536253,urls that i receive in email cannot be opened in a browser.,normal
272321,go ahead and login forgets params to editproducts,normal
399133,svg fecolormatrix in saturation mode has a math error on the blue channel,normal
797871,error when reading file from archivereader,normal
307755,properties dialog does not expand iso - codes to full language name,normal
412579,"in ebay, when trying to bid, the browser goes to a sign in screen over and over again.",normal
682327,"assertion: failed to make gl context current!: 'succeeded' glcontextprovideregl.cpp, line ",normal
503122,"impossible to clear cache because the ""clear private data"" option has disappeared",normal
607467,crash [@ nswindow::useractivity] during shutdown,normal
20796,we need a way to specify order of the template generated vs. xul menu items,normal
160145,graphics display issue,normal
223091,status bar total reports incorrect number of messages in mailbox,normal
168946,more psm cleanup,normal
75205,wrong window comes to the front when closing window,minor
173792,page source: cilcking char coding  loses  all source,normal
712890,"ctrl+f ""force reload"" doesn't reload plugin",normal
258871,installation failure on debian (woody) requiring version of libstdc++ not supported in woody,normal
684797,js_valuetoboolean(js::value const&),normal
3698,jump to anchor on same page turns text selection on,normal
207409,drop down menu is too short,normal
644193,drop down menus lose focus,major
605146,glitches with ipc/ and fakelibs,normal
612164,data_clone_err has the wrong constant,normal
490951,fix timeout for scripts when running mochitests,normal
286699,resets default cannot right to hkey local user...gets wiped out by microsoft,normal
314528,"firefox doesn't display content of page, gives background & page bottom links only",normal
75214,pages freezes browser,major
66139,ftp-downloading over squid-proxy not showing progress,normal
717019,intermittent /tests/dom/tests/mochitest/general/test_getcontentstate.html | test timed out.,normal
674518,"command+shift+t does not ""get/retrieve"" all new messages as it should. instead, it opens the ""welcome"" window of thunderbird .. thanks to fix this.",normal
296869,tab through form elements skips and ignores fields,normal
17561,mozilla crashes when url is opened,normal
621670,upgrading redhat packages via yum update fails with rpm_check_debug,major
766121,intermittent browser_gcli_pref.js | uncaught js exception - ns_error_out_of_memory: component returned failure code: xe (ns_error_out_of_memory) [nsidomhtmlcanvaselement.mozfetchasstream] at resource:///modules/pagethumbs.jsm: (+crash),normal
787678,about:config in searchbar,normal
457766,please consider reopening closed bug  - current close doesn't make sense,critical
29554,crash trying to get file from ftp site,critical
359944,composing an email hang when click on the attach menu button,major
285357,bookmark misdirection,major
74655,% of reply time in mailcompose spent converting linefeeds,normal
653550,add a close button to the highlighter,normal
38426,context menus should not eat clicks,normal
757415,"javascript error: ""mozapp is not defined"" in browserelementchild.js",normal
40777,drag scrolling over iframe incorrect,normal
647172,firefox randomly freezes the whole system while playing flash videos,critical
454209,favicon breaks when moving a tab to a different window,normal
121419,"if multiple cookies exist, the least significant is assigned.",normal
316991,"""check for updates..."" should say ""check for updates to firefox...""",minor
32621,"back button returns right framesouce in the left frame when returning from a target=""_top"" reference.",normal
793611,valgrind on tbpl detects leak -  bytes are definitely lost (direct) with ld entries on the stack,major
53177,ie interop rfe: sync ie/psm certs and keys,normal
104261,"attachment.cgi doesn't look in ""template/custom"" directory",normal
346025,jscpucfg.c fails to compile,normal
787382,expired cookies aren't deleted,normal
149934,"layout error with font tag and ""vertical-align: bottom"" wrapping img",normal
808276,langpack from -- fails to localize nightly,normal
744491,update titlebar to reflect <title> of page,normal
187883,alternate text of images is not displayed. caused by link?,normal
83436,"nothing happens when pressing ""view"" or ""policy"" in ""downloading certificate"" dialog",normal
323901,emails with photo attachement cannot be sent. smtp error appear.,normal
236858,repeating get requests,critical
602534,simpler scheduling of the last ditch gc,normal
429550,ns_error_failure [nsidomhistory.length],normal
104470,dom.disable_open_during_load breaks opens targeted to frames,major
6879,can new components auto alphabatize into component list?,normal
661477,deletion from quoted text makes the html visible,normal
502521,firefox always opens offline after . update   not linux machine,normal
257351,collectstats dies if an invalid series is defined,normal
275943,. docs imply that it's necessary to run checksetup.pl as the webserver user,normal
702975,[meta] bugs derived from examples of open ajax alliance,normal
686312,firefox/websockets denies to receive certain valid utf- sequences,normal
512260,active presshells should lock all descendant images to prevent discarding,normal
708285,crash in nsmemoryreportermanager::getexplicit,critical
548978,[os/] build break in gfx/src/thebes,major
124164,"input field height less than text height when size =x,",normal
352223,<foo></ foo> accepted as valid xml,normal
75421,url crashes the browser hard,major
584590,leak backstagepass and nsrdfresource with <xul:tab> and css filter,normal
192684,"picture which spans a pagebreak prints incorrectly, small distorted version of complete picture appears on each page",normal
281522,minimal version required for mail::mailer,major
426724,apng icons,normal
308019,"###!!! assertion: computed overflow area must contain frame bounds: 'anewsize.width ==  || anewsize.height ==  || aoverflowarea->contains(nsrect(nspoint(, ), anewsize))', file nsframe.cpp, line ",normal
243599,selection display disappears if opacity changes,normal
760337,add js_assert(initialized()) where appropriate in hashtable.h,normal
674218,"version  no longer recognizes scrolling from touchpad, version  did",normal
130373,sorting by target milestone in templatized buglist.cgi generates bogus error,major
480504,the pop-up caret-browsing-dialogue box can't be grabbed by gok,normal
295380,firefox doesn't follow the wrappers,normal
392492,distribution customizations will need to be persisted across aus updates,normal
515226,column view customizable per folder.,normal
806733,port test_sts_preloadlist.js to the new per-tab pb apis,normal
263563,print preview improperly,major
719870,css background:url() repeat doesn't always repeat the background,normal
84793,browser window sizing being ignored after visiting a site containing javascript code that reset browser window to full screen size,major
541998,bbs posting key image display problem.,normal
464240,file drop event is hidden from the extensions,normal
433277,no response to clicking on abc's full episode player,minor
547685,[html] parser/htmlparser/tests/mochitest/test_bug.html fails,normal
557911,"""don't notify"" check box when submitting",normal
88925,advanced edit: iframe element should not have assigned events,normal
732162,build mobile profiling builds with -funwind-tables,normal
633591,discard button no longer is outlined/highlighted,normal
93842,position attribute of xul popup's does not work,normal
455909,message details not wrapped when many recipients listed: ui buttons not visible in details pane,normal
53885,crash clicking on <tab> that has no matching <tabpanel> content,critical
583820,exclude app tabs from aero peek/tab previews,normal
89529,"browser freezes on loading pages with flash, shockwave",blocker
18361,crash executing js code that loads page in frameset,normal
390050,svg page locks firefox,normal
78145,embed tag in failed object tag does not expand table,normal
639707,[.] add resume support for mac os x . lion,normal
590970,nsnull == pl_strcasecmp is wrong,minor
578210,can't close page or do something about it,normal
650236,merge aurora backouts into ln-central,normal
248782,double-clicking filesystem url shortcut generates extraneous error dialog,normal
577223,hook up undo close tab with app tabs,normal
590116,possible stack corruption in windows' nsiconchannel::makeinputstream with firefox release build,normal
609030,rename createbloburl/revokebloburl,normal
808268,localstorage telemetry to determine the fraction of dirty keys during a flush,normal
277346,attachment name change when sending from ms office,normal
74510,we should not extension-guess a mime type if the server returned one,normal
321738,"floated li renders in inconsistent ways, links aren't always active",normal
823736,bg include.js must stringify params before sending to browserid internal api,normal
724826,nscategoryimp returns incorrect general category for certain unicode values,normal
544000,flicker when scrolling through tab menu,normal
24162,some forms of malformed absolute url don't work like the browsers of the majority of the people.,minor
96870,this table of links prints out dark,normal
217924,can t find a file i just downloaded,major
791633,can't display double-byte(chinese) words in the exported csv file,normal
430568,###!!! assertion: more unblockonload() calls than blockonload() calls; dropping call: 'not reached',normal
495869,"when video playback ends, .currenttime != .duration",normal
310582,"xhtml strict as xml should ignore invalid elements (center, font, etc)",normal
109505,personal toolbar folders non-functional: empty menu appears,critical
638274,re-enable tests disabled due to debug shell reftest assertion: !compartmenthaslivescripts(comp),normal
765464,throw typeerror for binding exceptions,normal
786893,stagefright video playback does not disable android display sleep,normal
595236,match tabs from other windows in panorama search,normal
362365,use anonid for relations/labels within world of anonymous content,normal
625081,sometimes confirm() window isn't displayed correctly,normal
412396,jpeg decoding/painting x slower on trunk v.s. branch on mac,normal
525388,crash when i try to go from one page onto another.,critical
451599,add preferences ui for disk cache size and clearing the cache,normal
423793,"""assertion failed"" message if i don't select a new folder for a bookmark folder move operation",normal
452853,"""assertion failed: !i->istramp()""",critical
410072,crash if i click on 'sign up for gmail' hyperlink text which points to address in url,normal
133077,incorrect png image repainting.,normal
337907,bookmark toolbar folder out of the screen after lowering screen resolution,normal
698123,crash [@ emptyshape],critical
298250,crash after alert within a function called by a onblur event of a textarea with minimum one following form element,normal
