id,severity,description
322620,normal,Logging in with 'Remember my Login' deselected gives: Use of uninitialized value in string eq at Bugzilla/Auth/Login/WWW/CGI.pm line 83
322807,enhancement,a spelling's mistake
322837,normal,[RFE] Unsubscribe from bug you've reported
322462,minor,"LDAP Authentication: if LDAPbinddn is defined, re-bind as that user before searching"
323100,normal,'Boundary' line removed from multipart message header in newchangedmail
323721,major,New charts feature crashes
323769,normal,"""Invalid Column Name"" when exportign bug list to CVS"
323524,enhancement,Make the group name an edit link
325079,major,The login form on the Bugzilla home page may redirect your login and password to another site
325579,major,"changing a bug generates multiple ""Bug Processed"""
326142,minor,usemenuforusers appears not to work due to admin or usevisibilitygroup settings
327624,normal,Missing space in attachment size error
328063,normal,Upgrading to 2.23 on PostgreSQL generates an error
328166,critical,editusers.cgi does not work because it has a Byte Order Mark at the beginning
328172,normal,collectstats.pl goes away from bugzilla root  directory when graphs subdir is a symbolic link
328385,minor,"dependency tree images missing from #251656 """
322848,normal,Extremly slow performance with a lot of products (~1800) and security groups for each
328615,blocker,"DBD::mysql::st execute failed: Duplicate entry '135075-25155' for key 1 [for Statement ""INSERT INTO watch (watched, watcher)"
328801,normal,This bug has already been marked as a duplicate of bug 325761.
329163,normal,No 'settings' template case in generic auth code
329390,normal,"Incorrect English in ""You can't make [% terms.abug %] blocked or dependent on itself."""
330310,normal,Crash Perl after run checksetup.pl
324734,normal,Bug list says there are 49 bugs but only displays one
330439,normal,"""Cancelled Because:"" needs a space after "":"""
330599,major,checksetup.pl - mysql 5.1.7 incompatibility when creating schema - TYPE=MYISAM
325922,normal,Mailing list archive and documentation search broken by server move
330633,normal,remove the reset button on editparams.cgi
330804,enhancement,User facing errors shouldn't talk about QA if QA contact is disabled
330805,enhancement,User facing product errors should consistently identify the product
330806,enhancement,"User facing errors should consistently avoid using ""legal"""
329630,blocker,Release Notes for 2.23.1
322122,critical,"Crash if I close/query a bug, Bugzilla has suffered an internal error"
325788,critical,Getting an odd datbase error on the main bage
327262,critical,Taking Backup of the Database creates an SQL script which is incorrect.
323294,major,Search result showing inproper date.
324098,major,error at global.pl ---Tainted error
324398,major,Could not submit new bugs
324788,major,query returns bugs of all products even for restricted users
327904,major,"Internal error in Config.pm, line 151"
328371,major,User E-mail notification of new user account verification broken.
328709,major,Unable to Create Reports / Charts
331076,major,rdfgvaerdfgv
331004,normal,alias_is_numeric uses 'another' which to me implies a real one was given/accepted
330996,normal,component_not_valid could be improved
331003,normal,"auth_failure uses ""put people in or out"""
331343,normal,twice SQLQuote in Bugzilla::flag::modify
331534,normal,customization.xml says cookies are never deleted
333648,normal,activity log doesn't show flag change
333870,trivial,missing links in sidebar.cgi
331365,minor,Sendmail complains about a possible attack because there's a newline in the email address
331691,normal,utf-8 bad truncate  after 'maxlength'
335354,minor,'Template->process() failed twice' when make languages param multiple to 1
335389,normal,"flags should use '', '?', '-', '+' as option order"
331688,major,Dependency graph is showing web dot error.
326946,enhancement,Change hide_resolved=1 to be the default behavior of showdependencytree.cgi
333581,minor,Provide editbugs as default timetrackinggroup value
336890,normal,bz2.22 templates bugs
337118,normal,OS becomes Other when use windows98
337681,major,"When trying to impersonate someone, the UI displays the password field when using the ENV method (with user_info_class=""Env,CGI"")"
337777,minor,Typo at bottom; 'myslqd' should be 'mysqld'
337995,major,having the probelem with rajesh
337996,major,having the probelem with rajesh
333772,normal,bugzilla_email_append accepts email from disabled users
338573,major,Auth throws an insecure dependency error because username is tainted
338965,normal,Add me to cc list feature is confusing
339684,enhancement,potentially settable flags really don't scale well past 5 items
340210,normal,bug creation timestamp is different than the first long description associated with that bug
340828,blocker,it's impossible to search bugmail for comments by a person
340848,normal,page.cgi?id=fields.html still contains obsolete values for Platform and OS
340538,normal,Insecure dependency in exec while running with -T switch at /usr/lib/perl5/site_perl/5.8.6/Mail/Mailer/sendmail.pm line 16.
341195,normal,"Update ""Download"" Page for 2.23.2"
341193,normal,Status update for 2.23.2
