id,description
322231,When uploading a objectice-c++ file (.mm) bugzilla sets the MIME type as application/octet-stream
322231,When uploading a objective-c++ file (.mm) bugzilla sets the MIME type as application/octet-stream
322807,a spelling's mistake
322807,"Spelling mistake in docs, section ""Searching for Bugs"""
322304,editparams.cgi won't save updates IIS instalation
322304,editparams.cgi won't save updates
322837,[RFE] Unsubscribe from bug you've reported
322837,Unsubscribe from bug you've reported
322771,PostgreSQL seems to incorrectly detect control characters... or clean_text() incorrectly fixes them
322771,PostgreSQL incorrectly detects that some summaries have control characters when they don't
323106,create-series Error: 'options' is null or not an object.
323106,create-series JavaScript Error: 'options' is null or not an object.
323642,Erro na instalação do bugzilla
323642,Erro na instala��o do bugzilla
323769,"""Invalid Column Name"" when exportign bug list to CVS"
323769,"""Invalid Column Name"" when exportign bug list to CSV"
323769,"""Invalid Column Name"" when exporting bug list to CSV"
323769,"""Invalid Column Name"" when exporting bug list to non-HTML format"
323905,"Boolean charts do not find ""bugs which are NOT in some given group"" correctly"
323905,"""Group"" ""isn't equal to"" boolean chart does not work correctly"
323721,New charts feature crashes
323721,[PostgreSQL] New charts feature crashes
325048,[PostgreSQL] Changing the status of a bug from UNCO to ASSIGNED sets everconfirmed to 1 but leave the status as UNCONFIRMED
325048,[PostgreSQL] Changing the status of a bug from UNCO to NEW or ASSIGNED sets everconfirmed to 1 but leave the status as UNCONFIRMED
325691,terms.Bugs not used in saved searches template
325691,terms.Bugs not used everywhere in templates
327289,Env.pm plugin doesn't create new user accounts correctly in Postgres
327289,[PostgreSQL] SQL crash when a new user logs in for the first time using the 'Env' auth method
322848,Extremly slow performance with a lot of products (~1800) and security groups for each
322848,Extremely slow performance with a lot of products (~1800) and security groups for each
328063,Upgrading to 2.23 on PostgreSQL generates an error
328063,[PostgreSQL] Upgrading to 2.23 on PostgreSQL generates an error
328063,[PostgreSQL] Bugzilla::DB::Pg does not support adding a new SERIAL-type Primary Key to a table
328063,[PostgreSQL] Bugzilla::DB::Pg does not support adding a new SERIAL-type column to a table
328108,Unable to login on a fresh Bugzilla install
328108,Unable to login on a fresh Bugzilla install using the login form on the home page
328332,DBD::Pg 1.44 & Bugzilla 2.20.1
328332,DBD::Pg 1.44 & Bugzilla 2.20.1 (checksetup.pl crashes)
328332,[PostgreSQL] DBD::Pg 1.44 & Bugzilla 2.20.1 (checksetup.pl crashes)
328385,"dependency tree images missing from #251656 """
328385,"dependency tree images missing from #251656 ""Redesign dependency tree, part 1: fix the tree itself"""
328274,E-mail address comparing is case-sensitive
328274,Can add a user twice to the CC list if you use different capitalization
327348,whining fails on mysql 4.0 due to date addition
327348,Whining fails on MySQL 4.0 due to date addition
327348,Whining fails on MySQL 4.0 due to multiple date addition
328615,"DBD::mysql::st execute failed: Duplicate entry '135075-25155' for key 1 [for Statement ""INSERT INTO watch (watched, watcher)"
328615,Watching the same user twice produces a SQL error
328330,Classifications are currently undocumented
328330,Add classifications documentation
328801,This bug has already been marked as a duplicate of bug 325761.
328801,bug already been marked as a duplicate error doesn't reference the bug the error applies to
328801,bug already marked as a duplicate error doesn't reference the bug the error applies to
328801,"Bug Already Marked Duplicate Error should linkify ""This bug"" and any other bug numbers"
328815,Full summary of the bug is not exported
328815,Full summary of the bug is not shown and not exported
329289,sidebar.xul.tmpl has a bad header
329289,sidebar.xul.tmpl generates version info in output .html
329537,Bugzilla::DB::Pg can't alter a column to be SERIAL
329537,[PostgreSQL] Bugzilla::DB::Pg can't alter a column to be SERIAL
329602,Test UTF8 RSS По Русски
329602,Test UTF8 RSS &#65533; Ðóññêè
329602,Test UTF8 RSS &#65533; ������
329602,Test UTF8 RSS По Русски
329602,Test UTF8 RSS �� ������
329628,Release Notes for 2.22
329628,Finalize Release Notes for 2.22
330310,Crash Perl after run checksetup.pl
