id,severity
322084,normal
322414,normal
322636,normal
322707,normal
322764,critical
322806,normal
322838,minor
322947,minor
322701,major
323338,normal
323617,normal
323737,normal
323807,normal
323756,normal
323652,normal
323945,critical
324327,normal
324482,critical
324500,minor
324746,minor
324711,normal
324915,normal
324922,normal
324981,normal
324706,normal
325279,normal
325262,major
325269,normal
325276,normal
325557,normal
325620,normal
325653,minor
325721,normal
325738,normal
325756,normal
325802,major
325765,normal
325875,critical
326085,critical
325912,normal
326741,normal
326778,normal
326693,normal
327170,normal
325899,normal
327640,critical
327804,normal
326838,major
327910,normal
328077,major
328134,normal
328044,normal
326657,normal
328471,major
322982,normal
328635,normal
328664,major
328606,normal
328040,normal
328903,normal
328940,normal
328960,normal
328995,normal
328579,major
329315,normal
329299,normal
329338,enhancement
329455,normal
329260,major
329530,normal
330044,normal
326521,major
330456,normal
330030,normal
330684,normal
330890,normal
330773,normal
331088,normal
324707,normal
331432,normal
331991,normal
332453,major
332657,normal
332736,normal
330208,critical
324857,major
332971,normal
324967,normal
330780,trivial
333084,trivial
332939,normal
333050,normal
325456,critical
333252,normal
333305,normal
333388,critical
333590,normal
333793,normal
333898,normal
333837,major
333990,major
334006,critical
333769,minor
334104,normal
334142,critical
334210,normal
334207,normal
332468,critical
333950,major
334322,critical
334341,major
334430,normal
334491,major
334616,normal
334538,normal
334834,normal
334814,major
334933,normal
334966,normal
330081,normal
335082,normal
335134,critical
335317,normal
335449,normal
335549,major
335678,normal
335697,major
335811,normal
335816,normal
335849,normal
329564,normal
333634,normal
336011,major
336087,major
335201,critical
336344,normal
336518,normal
336605,normal
336740,major
336791,normal
336814,normal
336662,normal
336964,critical
337019,normal
336907,normal
337040,critical
337205,normal
337259,normal
337379,normal
337408,normal
337456,normal
337492,normal
336679,normal
337481,major
337934,normal
337893,normal
334735,normal
338082,normal
338103,normal
337999,normal
336722,normal
332576,normal
338108,critical
331117,normal
322424,normal
338070,normal
338541,normal
338595,major
338357,major
338786,normal
338860,normal
338141,normal
339071,normal
339249,normal
339423,normal
333163,normal
335251,normal
339535,normal
331346,normal
336695,major
339634,normal
339654,major
338964,normal
339031,normal
339975,normal
340094,normal
339120,normal
340205,normal
340270,normal
340564,normal
340590,normal
340687,normal
340705,normal
332730,normal
341112,normal
340683,normal
341169,normal
341123,critical
340980,normal
341356,normal
341362,normal
341422,critical
341430,normal
341469,normal
341380,critical
337811,normal
341724,major
339329,critical
341877,normal
341928,normal
342025,major
342083,normal
342088,normal
342132,major
342143,normal
339127,enhancement
342352,normal
340667,normal
342529,normal
342581,normal
342380,enhancement
342720,normal
342766,normal
332917,normal
343036,normal
343034,normal
340050,normal
343191,critical
343192,normal
342810,critical
343236,critical
343371,normal
343375,normal
334920,enhancement
343532,major
343625,normal
343748,critical
343729,enhancement
343889,normal
343842,major
343982,normal
344120,trivial
344165,normal
344227,major
344121,normal
344172,normal
340841,major
344261,normal
337378,critical
344274,normal
344152,major
344348,normal
344560,normal
341730,normal
344711,minor
344787,normal
344804,normal
344257,enhancement
344884,normal
344895,normal
344857,normal
344914,critical
344960,normal
345083,normal
345151,major
345141,normal
345335,normal
345306,major
345337,major
345434,normal
345529,normal
345576,normal
345577,critical
345081,normal
345636,normal
334602,normal
345659,normal
345670,major
332074,normal
345754,normal
345734,normal
344808,normal
342979,normal
345935,normal
345936,normal
345740,normal
344699,normal
346027,critical
346067,normal
341950,normal
345563,major
346094,normal
346262,major
346431,normal
346233,normal
344865,normal
340262,normal
346574,major
346656,normal
346642,enhancement
346673,normal
346721,normal
346801,normal
346810,normal
346832,normal
346529,normal
346310,normal
347053,normal
347036,normal
346963,normal
347139,major
347082,normal
344885,major
347120,normal
346371,major
347282,major
347366,critical
347367,normal
347362,critical
335560,normal
347561,normal
347308,critical
347599,normal
347662,major
347895,major
347899,normal
348027,major
348050,major
339885,normal
348251,normal
322131,normal
348267,critical
348458,major
348474,major
346458,minor
330683,normal
348591,major
348514,major
348637,normal
348649,normal
348688,normal
348706,normal
349023,normal
349021,normal
348708,normal
349203,normal
348998,normal
348940,normal
335429,normal
349365,normal
349373,major
349459,normal
323189,normal
349571,normal
349630,major
332386,major
349825,major
349655,normal
349726,normal
349922,normal
349880,normal
348901,normal
350063,minor
350102,major
345365,major
350280,normal
350312,normal
350283,normal
349522,normal
350533,normal
350684,normal
349406,major
350820,normal
350898,major
351006,normal
351122,major
349837,normal
351295,normal
351329,major
351347,normal
351418,normal
351487,minor
351600,normal
330776,normal
351296,normal
351687,normal
340443,normal
351873,normal
350585,major
351999,normal
352059,trivial
352130,normal
352141,normal
342823,normal
352205,normal
352314,major
352453,normal
352459,normal
352529,normal
351913,normal
352602,normal
352624,normal
352634,normal
352671,blocker
352912,critical
353022,major
353107,normal
353165,normal
349519,normal
353227,normal
353494,normal
353473,normal
353515,normal
353555,normal
353558,normal
353502,normal
353704,normal
353881,normal
353629,normal
353274,minor
354119,critical
354296,normal
354351,critical
354409,critical
354392,major
354549,major
324532,normal
354711,normal
354824,normal
354865,normal
355026,normal
333535,normal
355075,major
354713,normal
355311,normal
355548,normal
352748,normal
355655,normal
355834,normal
355843,normal
355988,minor
355567,normal
356219,normal
344023,normal
355917,normal
356287,major
356400,normal
356553,major
356693,normal
356470,normal
356721,major
356796,normal
355971,normal
357179,critical
357388,major
357444,critical
357609,normal
351969,normal
357078,critical
355151,normal
357826,critical
357828,normal
357779,major
334612,normal
357993,major
358290,minor
358528,normal
358569,normal
358755,normal
358925,critical
359054,normal
341294,critical
357351,normal
359184,normal
357101,normal
347852,normal
356045,normal
359769,major
359821,critical
359973,normal
330271,critical
359649,minor
360032,normal
360224,normal
343025,normal
360598,minor
354908,normal
354768,normal
361010,major
360948,enhancement
361274,minor
361361,normal
358661,normal
361499,normal
361585,normal
361534,normal
361778,normal
361271,normal
354009,normal
361919,normal
361964,normal
362108,critical
362070,normal
362162,normal
356589,major
362291,normal
346930,normal
362445,normal
362382,major
337722,minor
362712,major
363002,normal
363086,major
363239,normal
356347,major
363487,normal
333235,major
353962,critical
363381,normal
363609,normal
363552,major
363950,major
363988,normal
364067,normal
364150,normal
364318,normal
364264,normal
364578,critical
343935,critical
364850,critical
361745,normal
359573,normal
365598,normal
365597,major
365734,normal
365916,normal
366127,major
366063,normal
365970,minor
366290,critical
366500,major
366498,major
366617,normal
366636,major
366691,normal
366818,normal
366849,major
365683,normal
367615,normal
367785,normal
367851,critical
363120,normal
368069,normal
368301,major
356617,major
365866,major
324767,normal
328533,normal
368375,critical
368427,critical
368515,normal
368628,normal
368670,major
368989,normal
369150,normal
368835,critical
368394,critical
369260,normal
369491,normal
370014,normal
358446,normal
370360,normal
370590,normal
365412,normal
370738,normal
370403,normal
370868,critical
370928,normal
325213,critical
371028,major
368911,normal
371176,normal
371473,normal
371849,normal
368501,minor
354380,major
372115,critical
362372,normal
367888,critical
372309,normal
372336,normal
372480,critical
372639,normal
372522,minor
372838,normal
373200,normal
373197,enhancement
373249,critical
371564,major
373362,normal
366669,critical
373383,minor
372641,minor
373724,normal
373911,normal
373072,normal
374276,normal
374083,normal
372098,normal
361921,normal
373896,major
374037,normal
374345,normal
374415,major
374422,normal
366340,normal
371135,major
363462,critical
342349,critical
375462,critical
375489,normal
375230,normal
373472,normal
375415,major
375965,critical
375992,normal
375931,major
357637,major
376394,normal
376520,major
376615,normal
376667,normal
376808,normal
376797,normal
376845,normal
377053,normal
377077,major
377419,critical
377394,normal
377754,enhancement
330351,trivial
377833,major
377918,normal
377936,normal
378042,normal
378072,normal
370631,major
378051,critical
373575,normal
378493,normal
375794,normal
377976,minor
378506,normal
378692,critical
378721,major
375912,critical
358586,critical
379178,minor
375436,trivial
379151,normal
378805,major
379418,normal
379459,normal
379604,normal
379648,normal
379666,normal
332082,normal
368116,major
379878,normal
380048,major
380114,normal
379924,major
340362,minor
380494,major
364129,minor
380631,normal
380628,minor
380741,major
380816,normal
380855,major
380975,normal
381014,major
381289,normal
381264,critical
381346,normal
378716,normal
381599,normal
380968,normal
381715,major
381402,major
381805,critical
381848,normal
382106,normal
382119,minor
380530,critical
382318,normal
382350,major
377491,normal
382431,critical
382631,normal
382678,major
383021,major
383050,normal
381146,normal
383179,major
368481,normal
383236,normal
382244,normal
383480,major
337465,major
382681,normal
383574,minor
383369,normal
384037,normal
377336,major
384154,minor
384328,normal
382196,normal
383887,normal
384589,critical
384716,normal
373759,normal
382138,normal
384937,major
385026,normal
384981,trivial
385133,normal
384719,normal
327694,normal
385430,normal
359098,normal
341921,major
385742,major
385751,normal
385883,normal
384999,enhancement
385994,normal
385294,major
386012,normal
386530,normal
386619,normal
386382,normal
386900,minor
386912,normal
386839,normal
387011,normal
387048,normal
387033,normal
387187,normal
387328,major
386235,normal
387347,normal
387499,normal
369696,critical
388082,normal
386872,major
388382,normal
380195,major
388710,normal
388384,normal
389179,normal
389194,normal
388608,major
389234,normal
389162,normal
389167,enhancement
389401,blocker
389375,normal
389434,normal
389553,normal
389647,normal
389663,normal
389861,normal
390032,normal
389999,normal
390051,critical
390078,normal
390130,major
387446,normal
389873,normal
390219,normal
390202,normal
390001,critical
390606,normal
389694,normal
390668,normal
390222,normal
365810,trivial
390611,major
375778,critical
389437,normal
390813,normal
391100,normal
391092,normal
391167,normal
390707,normal
361645,major
391237,normal
391428,normal
391147,normal
389677,major
390414,normal
391624,normal
391559,trivial
391783,minor
390670,normal
390050,normal
391421,normal
392061,normal
388787,normal
392214,blocker
392439,normal
392649,normal
392760,enhancement
392831,enhancement
392857,critical
390352,normal
392059,major
393209,normal
393250,normal
393330,normal
393432,normal
393618,normal
393656,normal
393241,trivial
393893,normal
393963,normal
394115,normal
393791,normal
394208,normal
394403,normal
394198,critical
395054,normal
393968,major
395334,normal
340742,normal
395542,normal
395586,critical
395597,critical
395397,normal
395784,normal
395258,normal
348158,normal
392895,normal
392626,major
336168,normal
391617,normal
393660,normal
378540,normal
395809,normal
387273,normal
395699,normal
395130,minor
395400,major
396064,normal
327869,major
376532,normal
395972,normal
396935,normal
397039,normal
397051,normal
397154,major
397304,normal
397454,normal
397644,normal
397791,normal
397606,normal
393002,trivial
396828,normal
397983,normal
395581,normal
398222,normal
398144,normal
398265,normal
396799,normal
388187,normal
394260,normal
394493,normal
395902,normal
397219,normal
398156,normal
361754,normal
398342,major
398547,normal
398692,normal
397844,normal
398885,major
398898,normal
399478,major
399659,normal
397373,enhancement
398385,normal
399863,major
399687,critical
399043,normal
400189,major
400321,normal
400180,minor
400897,major
400857,normal
400141,major
400999,normal
400310,major
401304,normal
401470,normal
396680,normal
401625,critical
397736,normal
401946,critical
402150,normal
402320,normal
402380,normal
402422,normal
402379,normal
402434,blocker
402587,normal
402723,critical
397855,normal
402713,normal
400392,normal
402908,normal
341848,critical
402983,normal
402990,normal
402807,normal
403021,major
403232,normal
367576,normal
403249,normal
403426,normal
345279,enhancement
403688,normal
403695,normal
403724,normal
403662,normal
402742,normal
404010,normal
403989,major
402729,minor
403962,normal
404343,normal
404237,normal
404320,normal
404728,critical
404872,normal
404870,normal
404857,normal
405021,normal
405014,critical
405151,normal
405268,normal
405278,normal
404655,normal
405568,normal
383430,enhancement
406036,normal
406061,normal
402505,critical
406140,normal
406473,critical
406496,normal
338889,normal
391580,normal
406019,normal
407104,normal
407231,enhancement
400019,normal
407034,normal
407749,normal
407761,normal
408090,normal
406376,major
408216,normal
408310,normal
408160,normal
408064,normal
408535,normal
406479,normal
368825,minor
409252,normal
408898,normal
409375,normal
409342,normal
409025,major
409604,normal
410198,normal
406787,normal
410407,critical
407406,normal
410491,normal
410323,normal
409048,normal
402966,normal
337890,enhancement
410917,normal
411030,normal
411119,major
411258,critical
411041,normal
411463,normal
410618,major
411229,minor
411369,critical
406800,normal
411854,trivial
411875,normal
409528,enhancement
412068,critical
392953,major
405951,major
411285,normal
412294,major
412524,normal
407586,normal
402785,normal
414001,blocker
414201,minor
413631,normal
414540,normal
414677,major
414804,critical
411831,normal
414854,normal
405710,normal
415188,normal
415425,normal
344818,normal
415776,normal
408871,enhancement
415867,normal
415827,normal
410621,normal
416357,normal
416217,normal
324885,critical
416460,critical
416721,normal
416622,normal
392051,trivial
416780,normal
417033,normal
417115,normal
417182,minor
414558,normal
417249,normal
377392,normal
416933,major
417819,normal
418049,critical
418239,enhancement
409379,normal
372571,normal
419086,normal
418779,normal
385169,critical
418845,normal
419668,normal
420051,normal
347750,normal
420429,normal
420403,normal
420502,normal
421103,critical
421131,normal
400724,normal
415967,minor
421236,major
398334,normal
421314,normal
421419,minor
381930,normal
375660,normal
420187,normal
421667,normal
421650,major
421929,normal
422011,normal
422027,normal
417760,normal
385576,normal
422137,normal
422760,normal
422916,major
422564,major
421244,critical
420678,major
423334,normal
423194,normal
423373,blocker
423645,major
423603,minor
424060,normal
424322,normal
424371,normal
418763,critical
422827,critical
424780,normal
424631,minor
425146,critical
425144,normal
418320,critical
425338,critical
425441,trivial
425555,normal
425577,normal
425576,normal
425125,normal
425658,normal
425837,enhancement
425936,blocker
425499,normal
425785,normal
426074,normal
411585,normal
426369,normal
426447,blocker
426392,major
426421,normal
331381,normal
426685,normal
426520,normal
426803,major
426827,normal
427004,normal
427086,major
426852,normal
426998,normal
427245,major
427698,normal
427683,major
428096,enhancement
427934,normal
427838,normal
427173,normal
428497,normal
418900,trivial
424663,normal
428840,critical
428914,normal
425424,normal
429160,normal
429215,normal
414760,normal
429304,normal
428944,trivial
429442,normal
416839,major
423601,minor
420213,normal
418035,normal
429428,normal
429604,normal
429669,minor
429713,normal
429898,normal
429974,normal
418811,normal
429682,normal
430091,normal
430127,normal
422024,normal
430332,normal
428760,blocker
427072,trivial
430426,normal
430574,normal
430699,major
430650,minor
430841,major
430723,normal
430926,normal
431081,normal
430813,minor
431189,critical
396339,major
429586,critical
431116,normal
431054,normal
431819,major
422180,major
432312,normal
432481,critical
432467,normal
432743,normal
397596,normal
432836,critical
433248,normal
433345,normal
433698,normal
433700,normal
433880,major
434124,normal
434216,critical
431997,trivial
434532,enhancement
434580,normal
433005,major
434864,critical
434837,normal
434944,critical
434703,normal
434998,normal
331802,major
434236,normal
346572,major
435664,normal
404142,major
435521,normal
434718,normal
435798,normal
427108,normal
436211,normal
424878,normal
434971,normal
437068,critical
427448,normal
427535,normal
437366,normal
437659,normal
437672,major
437995,critical
437872,critical
438913,normal
439020,normal
439293,major
439276,major
373701,normal
439646,minor
439711,critical
439767,normal
439801,normal
439565,normal
363861,normal
440257,normal
440473,normal
440172,major
440613,normal
440958,critical
440926,major
441034,normal
441210,normal
441133,normal
350744,normal
438588,minor
440779,minor
441722,major
441607,normal
442082,normal
441995,normal
442210,major
441785,critical
443106,normal
440405,normal
444464,normal
444484,normal
444781,normal
425929,normal
438695,normal
441923,normal
445026,critical
445247,normal
444930,normal
445531,minor
445647,normal
445867,normal
445903,critical
445946,normal
445879,normal
444054,normal
446270,critical
446302,normal
446363,normal
446494,normal
445475,normal
400075,major
446665,critical
447591,critical
447884,normal
448104,major
448111,normal
434915,normal
448141,enhancement
445951,normal
445298,normal
448445,critical
448658,normal
428552,critical
448860,normal
448278,normal
449331,major
449642,normal
449896,major
392826,major
444881,major
450325,normal
450383,critical
448197,normal
449785,normal
450359,normal
450637,normal
450681,major
450623,normal
450895,normal
450322,major
433758,major
333994,critical
451278,normal
451241,normal
451397,normal
451600,normal
451557,critical
448481,normal
445753,trivial
451666,normal
451678,normal
451605,normal
451606,normal
451906,major
451942,major
451963,normal
452121,minor
450864,minor
378276,minor
453101,normal
452969,trivial
450973,normal
453361,normal
453024,normal
451986,normal
453427,normal
451899,critical
453732,major
453730,normal
451664,minor
438819,critical
445999,blocker
452797,normal
451477,normal
453918,normal
453952,critical
454027,normal
454428,major
453624,normal
454004,normal
454576,major
453146,normal
455155,normal
446136,normal
454479,normal
414843,normal
454766,normal
454475,normal
454477,normal
421857,normal
455392,major
322686,minor
454406,normal
455598,normal
455691,normal
455791,critical
455971,critical
454575,normal
455763,normal
456112,critical
456242,critical
456345,major
456403,normal
456466,blocker
456502,normal
435251,critical
456152,normal
454482,normal
456648,normal
456684,normal
456826,normal
456810,normal
456511,normal
456912,major
456201,normal
453220,normal
457065,critical
457335,normal
457337,normal
457416,major
457411,normal
452385,blocker
452097,normal
457543,normal
454959,normal
457575,major
457819,normal
457786,enhancement
453708,normal
457369,normal
458359,normal
458399,normal
458861,normal
458668,critical
458851,normal
453927,normal
458764,major
457317,major
381843,normal
459068,major
459293,normal
459323,major
453827,normal
422793,normal
459319,normal
459524,critical
459154,normal
455547,normal
459389,major
425045,normal
460090,normal
460096,normal
457208,normal
460115,normal
460344,normal
460444,normal
452226,normal
460511,normal
460595,normal
410986,enhancement
460676,major
451909,normal
460776,critical
460933,normal
424276,normal
461355,normal
455367,normal
461456,normal
448730,major
461813,normal
460310,normal
461903,normal
461772,normal
461974,normal
461952,normal
462004,normal
462020,normal
461816,normal
451355,critical
462392,normal
450450,minor
462186,normal
462356,normal
462980,normal
463281,normal
463285,major
452834,normal
462734,normal
460642,normal
462826,normal
463490,normal
463803,critical
463829,normal
462728,normal
464001,blocker
370645,normal
380910,normal
463994,normal
416421,normal
463910,normal
463413,normal
464167,minor
464290,normal
464482,normal
461322,enhancement
464637,normal
464686,normal
464645,normal
464980,normal
