id,severity
322096,critical
322096,minor
322197,critical
322197,normal
322302,major
322302,normal
322313,normal
322313,critical
322431,critical
322431,major
322601,normal
322601,critical
322674,normal
322674,critical
322880,critical
322880,normal
322290,normal
322290,major
322986,normal
322986,blocker
322988,normal
322988,blocker
322989,normal
322989,blocker
322990,normal
322990,critical
322983,normal
322983,critical
323281,normal
323281,critical
323270,normal
323270,trivial
323621,normal
323621,major
323831,normal
323831,major
323492,normal
323492,blocker
323832,critical
323832,normal
323800,normal
323800,major
323209,major
323209,normal
323939,normal
323939,critical
322903,normal
322903,blocker
324287,normal
324287,minor
324275,major
324275,normal
324264,major
324264,critical
324204,normal
324204,critical
324135,major
324135,critical
324237,normal
324237,minor
324449,critical
324449,major
323096,normal
323096,critical
324562,normal
324562,critical
324512,enhancement
324512,normal
324023,enhancement
324023,normal
324868,normal
324868,major
324900,trivial
324900,normal
324940,normal
324940,critical
325250,normal
325250,blocker
325216,critical
325216,major
325385,critical
325385,normal
325578,normal
325578,critical
325626,major
325626,critical
325763,normal
325763,trivial
325763,minor
325787,normal
325787,critical
326048,normal
326048,minor
326106,critical
326106,normal
326475,normal
326475,trivial
325236,normal
325236,critical
326598,normal
326598,critical
326540,normal
326540,critical
326747,normal
326747,trivial
326734,normal
326734,critical
326774,normal
326774,major
326774,normal
326984,critical
326984,major
327000,normal
327000,critical
327274,normal
327274,minor
327332,normal
327332,major
327383,normal
327383,blocker
327369,normal
327369,critical
327459,normal
327459,critical
327480,critical
327480,normal
327480,critical
327480,normal
327595,critical
327595,minor
323857,major
323857,normal
328016,critical
328016,normal
328091,minor
328091,critical
328101,normal
328101,blocker
328102,normal
328102,critical
328119,major
328119,normal
328119,major
327009,normal
327009,critical
324737,normal
324737,minor
328634,normal
328634,minor
329146,normal
329146,critical
329203,major
329203,critical
329408,normal
329408,major
329634,blocker
329634,major
329791,critical
329791,normal
329738,major
329738,normal
329903,normal
329903,critical
329713,enhancement
329713,major
329490,normal
329490,major
330416,critical
330416,normal
330416,critical
330303,critical
330303,normal
330406,critical
330406,normal
330472,normal
330472,major
330598,normal
330598,major
330598,normal
330932,normal
330932,major
330916,major
330916,critical
330916,blocker
331015,normal
331015,blocker
330839,normal
330839,blocker
331233,normal
331233,major
331253,major
331253,critical
331414,major
331414,normal
331641,normal
331641,critical
331641,normal
331700,major
331700,normal
331869,normal
331869,blocker
332103,critical
332103,normal
332141,normal
332141,critical
332144,normal
332144,minor
331540,major
331540,critical
331490,normal
331490,critical
331606,normal
331606,critical
332448,minor
332448,normal
332019,major
332019,normal
332271,major
332271,minor
332519,critical
332519,normal
332671,critical
332671,normal
332765,blocker
332765,critical
332660,normal
332660,major
330578,normal
330578,major
330578,normal
330578,major
327396,normal
327396,major
332873,normal
332873,critical
333109,normal
333109,critical
328474,normal
328474,critical
333651,normal
333651,major
332888,minor
332888,trivial
333794,normal
333794,critical
333920,normal
333920,minor
326044,major
326044,critical
334149,critical
334149,normal
334241,major
334241,critical
329463,normal
329463,major
329463,critical
329463,blocker
333514,minor
333514,normal
334447,normal
334447,major
334469,major
334469,critical
334482,minor
334482,critical
334669,minor
334669,normal
334694,normal
334694,critical
335037,critical
335037,normal
335160,major
335160,critical
335160,normal
335426,major
335426,normal
335368,critical
335368,major
335472,normal
335472,major
335662,major
335662,critical
335701,normal
335701,critical
335926,normal
335926,major
335925,normal
335925,major
336028,normal
336028,critical
336085,major
336085,normal
336231,normal
336231,trivial
333680,normal
333680,critical
333743,normal
333743,critical
334864,normal
334864,critical
335213,critical
335213,normal
328798,normal
328798,critical
330885,normal
330885,major
336274,normal
336274,critical
336625,normal
336625,trivial
336683,critical
336683,normal
323966,major
323966,enhancement
323966,minor
336733,normal
336733,critical
336864,critical
336864,normal
336888,normal
336888,major
336881,normal
336881,critical
336980,major
336980,critical
337265,major
337265,critical
337292,minor
337292,blocker
336281,normal
336281,major
336728,critical
336728,major
335324,normal
335324,critical
337464,normal
337464,critical
336488,normal
336488,major
337415,minor
337415,trivial
337508,normal
337508,enhancement
337508,blocker
337529,major
337529,normal
337557,normal
337557,major
337625,normal
337625,major
337644,normal
337644,critical
337665,normal
337665,major
337665,minor
337695,minor
337695,trivial
337703,normal
337703,critical
337764,normal
337764,critical
338043,trivial
338043,minor
336554,normal
336554,trivial
337174,normal
337174,trivial
337190,normal
337190,minor
338212,normal
338212,critical
338300,normal
338300,critical
338322,normal
338322,critical
329964,normal
329964,major
338333,normal
338333,critical
338465,critical
338465,major
336990,normal
336990,major
336990,blocker
338579,normal
338579,major
338576,normal
338576,major
335512,major
335512,normal
338794,normal
338794,critical
338864,major
338864,minor
338234,normal
338234,major
339155,normal
339155,critical
338501,major
338501,critical
339457,normal
339457,major
339524,normal
339524,critical
339556,normal
339556,major
339840,critical
339840,major
339812,normal
339812,critical
340134,normal
340134,critical
340221,critical
340221,major
336535,normal
336535,critical
336535,normal
336535,critical
340401,major
340401,normal
340441,normal
340441,major
339861,critical
339861,blocker
340527,critical
340527,normal
340933,major
340933,normal
340966,normal
340966,major
340963,normal
340963,critical
340343,critical
340343,normal
340970,critical
340970,major
340854,minor
340854,normal
341357,normal
341357,major
341475,normal
341475,critical
337448,normal
337448,major
341577,normal
341577,minor
340249,trivial
340249,normal
341981,normal
341981,major
338457,minor
338457,normal
338895,normal
338895,major
342182,normal
342182,major
335738,normal
335738,major
342540,normal
342540,major
341829,normal
341829,major
342729,major
342729,blocker
342729,critical
342725,normal
342725,critical
338302,normal
338302,major
338302,normal
342820,major
342820,critical
337386,normal
337386,major
342469,critical
342469,major
343090,normal
343090,minor
343152,major
343152,normal
335533,major
335533,critical
340480,normal
340480,critical
343172,normal
343172,critical
342991,major
342991,blocker
343347,critical
343347,normal
343331,major
343331,critical
343483,normal
343483,major
343402,normal
343402,major
343897,trivial
343897,normal
343896,trivial
343896,normal
343801,normal
343801,major
344032,critical
344032,major
342105,normal
342105,major
342105,minor
342105,major
342105,minor
343936,normal
343936,minor
344166,normal
344166,minor
337595,major
337595,critical
339735,minor
339735,normal
344309,normal
344309,critical
344286,major
344286,critical
342774,normal
342774,minor
338863,normal
338863,major
344490,blocker
344490,major
344490,enhancement
344490,major
344586,major
344586,critical
344586,normal
344753,normal
344753,major
345329,normal
345329,major
345391,critical
345391,blocker
345391,critical
345572,normal
345572,minor
345572,normal
345626,normal
345626,critical
345668,normal
345668,critical
345738,normal
345738,minor
336799,normal
336799,minor
345893,normal
345893,major
346037,normal
346037,minor
345919,normal
345919,major
345984,critical
345984,major
346087,normal
346087,critical
346126,critical
346126,normal
342639,major
342639,normal
346173,normal
346173,critical
346214,normal
346214,critical
346214,blocker
346252,normal
346252,minor
346426,major
346426,normal
346649,normal
346649,critical
346654,critical
346654,major
346546,normal
346546,trivial
346778,critical
346778,major
346316,normal
346316,major
346921,normal
346921,minor
345564,critical
345564,major
346897,normal
346897,critical
346995,normal
346995,trivial
347014,trivial
347014,minor
347184,critical
347184,blocker
347184,major
347195,critical
347195,major
347172,normal
347172,major
347285,trivial
347285,critical
347255,normal
347255,critical
347117,normal
347117,critical
347045,critical
347045,major
342635,normal
342635,minor
347407,major
347407,critical
347375,normal
347375,critical
347416,normal
347416,major
347257,normal
347257,major
347484,normal
347484,critical
347484,normal
347484,critical
347435,trivial
347435,normal
347435,minor
347465,normal
347465,minor
347692,trivial
347692,enhancement
347692,minor
347487,normal
347487,minor
347758,critical
347758,normal
347913,normal
347913,critical
341098,normal
341098,minor
347955,critical
347955,major
347988,major
347988,minor
347882,major
347882,normal
348181,critical
348181,normal
348203,normal
348203,trivial
348277,normal
348277,critical
348463,normal
348463,critical
348544,normal
348544,trivial
348560,normal
348560,critical
348565,trivial
348565,normal
348737,critical
348737,major
348737,normal
345808,normal
345808,trivial
348840,major
348840,critical
348837,normal
348837,minor
348914,normal
348914,critical
348248,minor
348248,normal
348979,critical
348979,normal
349128,critical
349128,normal
349243,minor
349243,normal
349314,normal
349314,critical
348194,normal
348194,critical
349410,normal
349410,major
349728,blocker
349728,normal
335754,normal
335754,major
349871,normal
349871,critical
349676,normal
349676,critical
350123,normal
350123,major
350119,normal
350119,critical
350119,major
350389,minor
350389,normal
350498,major
350498,normal
350615,normal
350615,major
350844,normal
350844,critical
350949,normal
350949,major
350937,enhancement
350937,normal
351015,major
351015,normal
344672,major
344672,trivial
351192,major
351192,normal
351191,normal
351191,critical
349440,normal
349440,minor
351420,normal
351420,major
351519,critical
351519,normal
351555,normal
351555,critical
348611,critical
348611,major
351618,normal
351618,minor
351707,normal
351707,trivial
351721,normal
351721,critical
351763,normal
351763,critical
351845,normal
351845,critical
350675,minor
350675,normal
352170,critical
352170,major
352170,critical
352106,major
352106,normal
352242,normal
352242,critical
352330,normal
352330,critical
350121,normal
350121,minor
352464,major
352464,normal
352537,normal
352537,critical
352689,normal
352689,major
352718,normal
352718,critical
352724,enhancement
352724,normal
352781,critical
352781,normal
353012,enhancement
353012,major
353033,normal
353033,major
330741,normal
330741,minor
353019,normal
353019,critical
353100,major
353100,critical
353069,normal
353069,minor
353297,blocker
353297,normal
353297,blocker
353489,major
353489,normal
353659,normal
353659,critical
353659,normal
353845,critical
353845,normal
353775,critical
353775,major
353766,critical
353766,minor
341654,minor
341654,major
353967,critical
353967,normal
353194,trivial
353194,minor
353388,normal
353388,trivial
325157,normal
325157,trivial
354383,critical
354383,normal
354687,critical
354687,normal
354689,critical
354689,major
354807,normal
354807,major
354836,major
354836,critical
355160,normal
355160,major
355160,critical
355284,normal
355284,minor
355191,major
355191,normal
355351,normal
355351,major
355032,normal
355032,major
355481,blocker
355481,minor
355481,major
355481,normal
355664,major
355664,normal
355469,normal
355469,minor
355721,major
355721,critical
354268,normal
354268,minor
349716,normal
349716,blocker
349716,normal
349716,major
349716,normal
354933,normal
354933,major
354972,normal
354972,major
355566,normal
355566,major
354932,normal
354932,major
355564,normal
355564,major
356546,normal
356546,trivial
356573,enhancement
356573,normal
355484,critical
355484,major
356903,major
356903,normal
357059,major
357059,normal
357141,normal
357141,critical
357234,major
357234,normal
357237,major
357237,trivial
357575,normal
357575,critical
357575,normal
357575,critical
357629,major
357629,normal
357626,normal
357626,major
357776,major
357776,normal
357814,major
357814,minor
357814,normal
351291,normal
351291,major
357794,critical
357794,normal
357933,normal
357933,critical
357631,normal
357631,critical
358067,normal
358067,major
358193,critical
358193,major
353151,major
353151,normal
353151,enhancement
353151,normal
358196,normal
358196,minor
358396,enhancement
358396,normal
358468,major
358468,normal
358468,major
358493,normal
358493,critical
332972,normal
332972,critical
358522,normal
358522,critical
358525,normal
358525,critical
358623,major
358623,critical
358833,normal
358833,critical
358908,major
358908,normal
359012,major
359012,normal
358863,critical
358863,normal
350371,normal
350371,trivial
359417,normal
359417,critical
359349,normal
359349,enhancement
359349,normal
359517,critical
359517,normal
359721,critical
359721,normal
359953,normal
359953,minor
357898,critical
357898,major
359976,major
359976,normal
359929,normal
359929,critical
360055,major
360055,normal
360348,normal
360348,critical
360361,normal
360361,critical
360414,major
360414,normal
332330,normal
332330,major
360519,normal
360519,critical
360572,minor
360572,normal
360572,major
360624,critical
360624,major
360729,normal
360729,critical
360709,normal
360709,critical
360867,normal
360867,enhancement
360867,normal
360865,major
360865,critical
347897,normal
347897,critical
361199,critical
361199,normal
357370,major
357370,minor
361459,normal
361459,trivial
361590,normal
361590,major
361671,normal
361671,major
361746,normal
361746,critical
361851,critical
361851,major
327913,major
327913,normal
362145,normal
362145,critical
360693,major
360693,normal
362329,enhancement
362329,normal
359348,trivial
359348,normal
362484,normal
362484,minor
338093,critical
338093,normal
362652,normal
362652,minor
362627,normal
362627,major
362684,normal
362684,critical
333907,normal
333907,major
362705,major
362705,normal
356889,normal
356889,minor
362753,normal
362753,critical
362723,normal
362723,critical
355187,major
355187,critical
363245,normal
363245,critical
363261,critical
363261,normal
363433,normal
363433,major
363783,normal
363783,trivial
363744,normal
363744,major
363744,blocker
363842,major
363842,critical
363841,normal
363841,critical
363598,major
363598,normal
364226,major
364226,blocker
364226,minor
348047,normal
348047,major
364563,critical
364563,major
364601,normal
364601,major
364670,major
364670,critical
364649,major
364649,critical
358806,normal
358806,major
361485,normal
361485,critical
361319,major
361319,critical
364451,normal
364451,critical
330141,major
330141,critical
330141,major
364868,critical
364868,normal
364963,critical
364963,major
365025,critical
365025,major
365328,critical
365328,major
365328,critical
365328,normal
365328,critical
365328,normal
365423,normal
365423,major
365222,major
365222,critical
365477,minor
365477,normal
365870,normal
365870,minor
346419,normal
346419,minor
366061,normal
366061,major
366198,normal
366198,critical
366198,normal
345811,normal
345811,minor
366263,major
366263,trivial
366242,enhancement
366242,normal
366572,major
366572,normal
366709,minor
366709,normal
366766,major
366766,blocker
366766,normal
366919,critical
366919,major
366896,minor
366896,critical
367313,normal
367313,minor
367685,critical
367685,major
367699,normal
367699,major
358533,normal
358533,major
368184,normal
368184,critical
368184,normal
368190,trivial
368190,minor
368349,enhancement
368349,trivial
368411,normal
368411,critical
368463,normal
368463,critical
368463,normal
368489,normal
368489,critical
368644,normal
368644,major
327304,critical
327304,major
368845,major
368845,normal
340447,critical
340447,major
369190,critical
369190,major
369095,normal
369095,minor
324602,major
324602,critical
369520,normal
369520,critical
369520,blocker
369670,normal
369670,blocker
369882,trivial
369882,normal
327819,normal
327819,major
370023,critical
370023,normal
370023,critical
370156,critical
370156,normal
370246,normal
370246,blocker
370246,trivial
345766,minor
345766,major
345766,normal
370358,normal
370358,critical
370520,normal
370520,major
370582,normal
370582,major
370582,normal
370582,trivial
369887,normal
369887,critical
370923,normal
370923,minor
368179,normal
368179,major
371186,normal
371186,critical
338237,major
338237,critical
371578,normal
371578,blocker
371578,normal
371661,normal
371661,critical
371807,trivial
371807,normal
372061,normal
372061,critical
371920,minor
371920,critical
372146,normal
372146,critical
364084,normal
364084,major
372779,normal
372779,major
372236,normal
372236,minor
372975,major
372975,normal
373058,normal
373058,minor
373018,normal
373018,critical
373120,enhancement
373120,normal
373398,normal
373398,trivial
373389,normal
373389,blocker
373720,normal
373720,critical
373912,normal
373912,major
365018,normal
365018,trivial
373969,enhancement
373969,normal
374033,normal
374033,critical
374134,normal
374134,minor
374201,normal
374201,critical
374396,normal
374396,critical
374396,normal
356283,normal
356283,trivial
372559,normal
372559,minor
374738,critical
374738,major
374738,critical
362550,normal
362550,minor
375321,normal
375321,critical
375379,normal
375379,critical
373357,major
373357,minor
375550,major
375550,normal
375720,normal
375720,minor
375946,normal
375946,critical
375948,major
375948,critical
375943,normal
375943,trivial
375951,major
375951,critical
376142,normal
376142,critical
376143,critical
376143,normal
375973,normal
375973,trivial
373800,major
373800,blocker
375989,major
375989,normal
376778,critical
376778,major
360151,critical
360151,normal
376547,normal
376547,trivial
376834,normal
376834,critical
374340,normal
374340,major
377755,normal
377755,major
377832,critical
377832,major
378052,normal
378052,critical
378055,critical
378055,major
378167,normal
378167,critical
378262,critical
378262,major
378315,normal
378315,critical
378315,normal
378315,critical
378315,major
378288,critical
378288,normal
378871,major
378871,critical
378989,normal
378989,critical
379044,normal
379044,critical
324880,critical
324880,major
379243,critical
379243,normal
379540,normal
379540,major
379738,normal
379738,critical
373022,trivial
373022,critical
380025,critical
380025,major
380025,normal
380073,normal
380073,critical
380141,normal
380141,critical
380127,normal
380127,critical
380382,normal
380382,critical
380029,major
380029,normal
329645,normal
329645,critical
380862,major
380862,normal
380862,critical
380862,normal
380862,critical
381043,major
381043,normal
381288,normal
381288,major
381326,normal
381326,major
381405,normal
381405,minor
381537,normal
381537,critical
334613,major
334613,normal
381709,critical
381709,major
381816,major
381816,critical
381692,enhancement
381692,normal
381841,normal
381841,critical
376862,normal
376862,critical
381983,enhancement
381983,normal
382003,normal
382003,major
378569,major
378569,critical
382156,normal
382156,critical
382221,normal
382221,major
382407,normal
382407,trivial
382563,critical
382563,major
377695,normal
377695,major
378032,major
378032,critical
378032,blocker
378032,normal
382783,normal
382783,critical
382783,major
382785,normal
382785,critical
382716,normal
382716,critical
382724,normal
382724,major
382896,minor
382896,normal
366565,critical
366565,normal
367453,critical
367453,normal
354786,major
354786,minor
326541,normal
326541,critical
326559,normal
326559,critical
328002,normal
328002,critical
367497,normal
367497,critical
326592,minor
326592,critical
325362,minor
325362,normal
327136,normal
327136,critical
327800,major
327800,normal
383492,normal
383492,major
383572,major
383572,critical
333154,critical
333154,major
335045,normal
335045,critical
336762,minor
