id,severity,description
322055,normal,"As of 1/1/06, received mail displays time but no date."
322221,critical,"After updated to the 20060102 trunk build, it crashed whenever I tried to start Thunderbird."
322346,major,can not start thunderbird 1.0.2-6(200505)on fedora core 4(stenz)
322472,major,"When Messages are sorted by DATE, Last Week contains messages all messages received before yesterday"
322808,enhancement,"Can not launch my own extension using the ""-chrome"" option."
323305,minor,TB crashes without reason.
323301,normal,enigmail plugin crashes Thunderbird completely when editing mails
323364,major,Address autocomplete fails to give nickname matches preference
323476,major,Fresh install to import mail from Mozilla - always crashes.
324110,normal,Autosave causes mail composer window to hang
325090,normal,Crash when I click get mail button as soon as the thunderbird window appear
324302,critical,System Freeze when new email comes in
325908,major,message pane downloads external linked .css urls even though images aren't downloaded.
326631,critical,Imaginary mail numbers in each box + imaginary download of new mail numbers
326569,major,while reading/sending mail occassional bur frequent crashes
327503,critical,"Version 1.0.2 (20050317) crashes when opening mail with many (and large) attachments, switching off the whole notebook"
328121,normal,Forwarded portion of message not saved (and not displayed)
328286,normal,Message filter for size uses unspecified unit (assumed to be MB)
328999,normal,Account folders collapsed when TB opened after composing (because of PANACEA.DAT ^83=1c)
328015,trivial,Tooltip with the list of new letters in the folder incorrectly
329595,normal,Crash on marking mail as Junk (Local Folders)
330657,enhancement,Additional dictionary for spellchecker won't be installed using the 'download additional' choice in 'language' pulldown menu
330501,normal,mailing list in address field consumes cpu
327600,minor,"Searching for sender in ""sent mail"" folder actually searches for recipient"
331101,normal,multiple cards with the same email-address: displayed name will be overwritten by adding to a list
331712,critical,Page background settings are highly unreliable (don't apply as intended)
331711,critical,Re-opening a draft for editing messes up the e-mail formatting
332015,minor,Password Manager does not prompt for new password when POP server password changes.
330134,major,Import of Japanese emails from outlook does not work correct.
330258,major,Totally empty mail window when opening email
333248,normal,Error dialogs block getting mail from other accounts
333561,critical,"Missing FW,Fwd,forwarded body part of an e-mail (just header is there)"
333606,major,"can not Send email to msn, yahoo, hotmail, sympatico emails"
331632,normal,https://survey.mozilla.com/ doesn't have a Thunderbird-specific survey
333139,normal,Moving messages from local folder to IMAP folder causes message status to be reset
334878,major,"""Attach"" file browser has no pathname prompt, or onscreen indication of how to access one"
334854,major,downloading a hotmail with stranger characters in subjet displays negative vibes
334932,normal,Trunk crashes
335009,minor,creation of libxulapp_s.a fails with missing object file
326539,minor,Thunderbird 1.5 (20051201) can`t print selected text of e-mail message area
335350,normal,"account manager doesn't display sub-items anymore (Server Settings, Copies & Folders, etc.)"
331138,minor,Spurious Account Created
336367,critical,Thunderbird Crashes Upon Start
336307,normal,cursor creates ghosting when backspace is used
336700,critical,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9a1) Gecko/20060504 Thunderbird/3.0a1 ID:2006050409
330437,normal,Sound do not play when a new message arrives
337555,normal,Thunderbird crashes when pasting text
