id,severity
322055,normal
322055,critical
322055,normal
322221,critical
322221,blocker
322346,major
322346,normal
322472,major
322472,trivial
322808,enhancement
322808,normal
323305,minor
323305,critical
323301,normal
323301,critical
323364,major
323364,minor
323476,major
323476,critical
324110,normal
324110,critical
325090,normal
325090,critical
324302,critical
324302,normal
325908,major
325908,minor
326631,critical
326631,normal
326569,major
326569,critical
327503,critical
327503,normal
328121,normal
328121,minor
328286,normal
328286,minor
328999,normal
328999,minor
328015,trivial
328015,normal
329595,normal
329595,critical
330657,enhancement
330657,trivial
330501,normal
330501,major
330501,minor
327600,minor
327600,normal
331101,normal
331101,critical
331712,critical
331712,major
331711,critical
331711,major
332015,minor
332015,normal
330134,major
330134,critical
330258,major
330258,normal
333248,normal
333248,minor
333561,critical
333561,normal
333606,major
333606,normal
331632,normal
331632,critical
333139,normal
333139,major
334878,major
334878,normal
334854,major
334854,normal
334932,normal
334932,critical
335009,minor
335009,blocker
326539,minor
326539,normal
335350,normal
335350,major
331138,minor
331138,normal
336367,critical
336367,blocker
336367,critical
336307,normal
336307,trivial
336700,critical
336700,blocker
330437,normal
330437,major
330437,normal
337555,normal
337555,critical
334488,normal
334488,minor
337929,normal
337929,minor
337835,major
337835,normal
338109,critical
338109,blocker
338090,major
338090,normal
331322,trivial
331322,minor
338285,critical
338285,major
332883,normal
332883,critical
338290,critical
338290,normal
338658,critical
338658,major
338727,normal
338727,minor
339139,major
339139,normal
339139,minor
339161,critical
339161,major
339175,normal
339175,major
339559,major
339559,critical
339240,normal
339240,major
339410,normal
339410,critical
339887,major
339887,trivial
340434,normal
340434,minor
340460,normal
340460,trivial
340647,major
340647,critical
340662,critical
340662,normal
326368,major
326368,critical
341241,normal
341241,minor
341369,normal
341369,critical
341369,major
341042,major
341042,normal
341173,enhancement
341173,normal
325986,normal
325986,critical
343467,critical
343467,major
343606,critical
343606,normal
343910,normal
343910,critical
341490,normal
341490,minor
326888,normal
326888,minor
344133,enhancement
344133,minor
326629,normal
326629,critical
335823,enhancement
335823,major
345386,normal
345386,trivial
345386,minor
345485,normal
345485,major
343901,normal
343901,major
343018,normal
343018,major
346460,normal
346460,critical
346765,normal
346765,major
346781,major
346781,normal
346355,normal
346355,critical
346696,major
346696,normal
328586,normal
328586,minor
346966,normal
346966,minor
346966,normal
347681,critical
347681,major
347519,normal
347519,trivial
347539,normal
347539,trivial
347994,normal
347994,major
348411,major
348411,minor
348411,major
348392,normal
348392,trivial
348506,normal
348506,critical
348534,normal
348534,critical
348714,major
348714,critical
333877,normal
333877,major
331009,critical
331009,normal
350196,enhancement
350196,normal
350399,normal
350399,critical
351057,major
351057,blocker
350536,normal
350536,critical
332599,normal
332599,trivial
339566,normal
339566,minor
351517,normal
351517,critical
351989,normal
351989,critical
350175,major
350175,critical
352352,normal
352352,critical
349547,normal
349547,major
349547,critical
351445,normal
351445,minor
352409,normal
352409,trivial
347542,normal
347542,trivial
352836,normal
352836,trivial
350478,major
350478,critical
333904,normal
333904,trivial
333904,minor
351437,normal
351437,minor
353318,major
353318,normal
353347,normal
353347,enhancement
353347,normal
353590,normal
353590,trivial
353792,normal
353792,major
346672,normal
346672,critical
354289,normal
354289,major
354938,normal
354938,minor
339763,normal
339763,major
354132,critical
354132,major
355887,normal
355887,minor
356032,normal
356032,minor
356032,normal
356030,blocker
356030,critical
351502,critical
351502,normal
356429,major
356429,normal
356445,critical
356445,major
356537,normal
356537,minor
356770,normal
356770,minor
356985,normal
356985,critical
357168,major
357168,critical
343304,major
343304,normal
357264,normal
357264,blocker
357264,normal
358662,critical
358662,normal
358421,critical
358421,major
359707,critical
359707,minor
359998,critical
359998,major
359885,normal
359885,major
341183,normal
341183,minor
360448,normal
360448,minor
360409,critical
360409,blocker
360409,critical
360409,blocker
360409,critical
360409,blocker
360409,critical
360887,critical
360887,major
337881,normal
337881,critical
361285,normal
361285,trivial
361374,major
361374,normal
361374,minor
361603,normal
361603,minor
354748,normal
354748,minor
354136,normal
354136,minor
361905,major
361905,normal
362213,normal
362213,major
362123,normal
362123,critical
362123,normal
336415,normal
336415,critical
362602,normal
362602,minor
362919,normal
362919,trivial
358547,normal
358547,critical
324686,normal
324686,minor
329055,normal
329055,critical
363775,major
363775,critical
363831,normal
363831,critical
364206,blocker
364206,major
364815,minor
364815,normal
363568,major
363568,critical
363113,normal
363113,major
365977,normal
365977,minor
364939,normal
364939,major
366602,normal
366602,critical
359160,normal
359160,critical
366447,normal
366447,major
366447,minor
367514,critical
367514,major
367514,critical
367434,critical
367434,major
367470,critical
367470,minor
367470,critical
367470,normal
368104,critical
368104,normal
368151,normal
368151,major
368303,major
368303,normal
368509,major
368509,normal
369104,normal
369104,minor
369159,normal
369159,trivial
369352,normal
369352,major
343960,normal
343960,critical
333220,normal
333220,critical
370330,normal
370330,major
370918,normal
370918,critical
370918,normal
359141,normal
359141,minor
369056,normal
369056,major
372261,critical
372261,blocker
372253,normal
372253,minor
372421,critical
372421,major
373270,normal
373270,critical
374195,normal
374195,minor
374259,normal
374259,major
374259,critical
374445,trivial
374445,minor
373708,normal
373708,minor
373708,major
364531,normal
364531,major
375678,major
375678,critical
368914,trivial
368914,normal
376089,enhancement
376089,normal
376582,major
376582,minor
377277,critical
377277,normal
377350,minor
377350,critical
322628,normal
322628,major
377662,major
377662,blocker
346651,critical
346651,blocker
346651,normal
378113,normal
378113,critical
378243,normal
378243,major
378565,critical
378565,normal
378898,major
378898,normal
377998,major
377998,normal
378446,enhancement
378446,normal
379626,normal
379626,trivial
376259,major
376259,critical
379868,critical
379868,minor
359916,normal
359916,critical
355862,normal
355862,critical
335138,major
335138,normal
381009,critical
381009,blocker
381116,normal
381116,major
381259,normal
381259,critical
381418,enhancement
381418,normal
380324,enhancement
380324,minor
370829,normal
370829,major
381867,major
381867,minor
382605,critical
382605,blocker
382442,critical
382442,normal
368355,normal
368355,major
383346,major
383346,minor
383738,critical
383738,normal
383779,normal
383779,enhancement
383779,normal
380897,critical
380897,major
337781,normal
337781,major
337781,critical
384588,normal
384588,critical
385689,normal
385689,major
386261,critical
386261,major
351167,normal
351167,minor
386855,major
386855,minor
386855,major
386855,minor
386855,normal
387111,critical
387111,blocker
364179,enhancement
364179,normal
388441,enhancement
388441,normal
342696,normal
342696,minor
347547,critical
347547,normal
389039,major
389039,critical
389265,major
389265,minor
336973,normal
336973,major
389457,normal
389457,major
389457,critical
389457,major
334498,normal
334498,minor
389975,critical
389975,blocker
326584,normal
326584,minor
373399,normal
373399,critical
