id,description
322346,can not start thunderbird 1.0.2-6(200505)on fedora core 4(stenz)
322346,can not start thunderbird 1.0.2-6(200505)on fedora core 4(stenz) kernel 2.6.11-1.1369_FC4
322330,Message scroling icons in task bar
322330,Message scrolling icons in task bar
322330,Message scrolling icons in tool bar
322361,Number of not newsgroup messages not downloaded on news server not shown (/correctly?) on statusbar
322361,Number of new newsgroup messages not downloaded on news server not shown (/correctly?) on statusbar
322361,Total number of newsgroup messages not downloaded on news server not shown (/correctly?) on statusbar
322299,IE cannot launch Thunderbird
322299,IE cannot launch Thunderbird with 8.3 name filenames disabled
322283,Crash after filter operation with a missing destination folder
322283,Crash after filter operation with a missing destination folder [@ nsMsgFilterService::SaveFilterList]
322449,"Coma Separated ""From"" are considered as multiple sender"
322449,"Comma Separated ""From"" are considered as multiple sender"
322472,"When Messages are sorted by DATE, Last Week contains messages all messages received before yesterday"
322472,"When Messages are grouped by DATE, Last Week contains messages all messages received before yesterday"
322113,"""could not initialize the brower's security component"" dialog shows because cert8.db is corrupt"
322113,cert8.db file overwritten with content of New Mail sound file
322524,get datalos on moving mails to subfolders
322524,Dataloss on moving mail to subfolders
322525,addres autocompletion decides too fast
322525,address autocompletion decides too fast
322782,"Whenever I receive a message Thunderbird states, ""! C is not a proper Protocal"""
322782,"Whenever I receive a message Thunderbird states, ""C is not a proper Protocol"""
322476,"message not marked as ""read"" when moved to trash"
322476,"message not marked as ""read"" when deleted"
322941,"Spaces in own Adress around ""|"" are removed"
322941,"Spaces in own Address around ""|"" are removed"
322140,crash on new mail notification when in background
322140,crash on new mail notification when in background [@ mach_msg_trap]
322140,crash on new mail notification when in background [@ SpeechSynthesis]
322140,crash on new mail notification when in background [@ SpeechSynthesis] [Mac]
323128,-heigth and -width options are not known when launching thunderbird
323128,-height and -width options are not known when launching thunderbird
323159,"""Trust junk mail headers set by:"" should be logged in Junk Mail Log, not message filter log"
323159,"""Trust junk mail headers set by:"" should be consistent in UI and log location/access"
323159,"Make obvious that ""Junk mail log"" is only for the ""adaptive junk mail control"" (""Trust junk mail headers set by:"" should be consistent in UI and log location/access)"
323305,TB crashes without reason.
323305,Thunderbird crashes without reason
323409,"Sent amil does not appear in recirients inbox, but THUNDERBIRD confirms sent mail"
323409,"Sent amil does not appear in recipients inbox, but THUNDERBIRD confirms sent mail"
323409,"Sent mail does not appear in recipients inbox, but Thunderbird confirms sent mail"
323364,Address autocomplete fails to give nickname matches preference
323364,Address autocomplete fails to list matches-on-nickname when matches-on-name are available
323476,Fresh install to import mail from Mozilla - always crashes.
323476,Fresh install to import mail from Mozilla - always crashes [@ nsNetscapeProfileMigratorBase::RecursiveCopy]
323531,crash when deleting all attachments after(!) detaching all of them from one mail
323531,crash when deleting all attachments after(!) detaching all of them from one mail [@ CompareAttachmentPartId]
323694,Message dones't show up.
323694,Message doesn't show up.
323637,"Hang in compose window forwarding large text-only message, prefs set to quote inline"
323637,Hang caused by spell check in compose window when forwarding large text-only message inline
323587,thunderbird crashed when the auto-forward filter encounter a non-encoded chinese email subject
